coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#1731,named,,,0,Argentina,77448,283,10374317.40038,0.7611868497572565
#1730,named,,,0,Argentina,79960,1099,8816103.66695569,0.24169579302626312
#2121,named,,,0,Spain,133744,322,8482727.37891,0.7875820469703314
#2120,named,,,0,Spain,143986,1260,6736698.38941262,0.23388513440383094
#1891,named,,,0,France,106762,307,5990841.35061,0.682929736797737
#1890,named,,,0,France,107107,1056,4129262.25390169,0.3057663280932152
#2051,named,,,0,Portugal,15214,159,3680740.95498,0.8930680649401866
#1541,priceBinary,BTC,1d,63927,Recurring,69569,300,3495337.60798,0.6787103298883124
#200,priceBinary,BTC,1d,80657,Recurring,47343,631,3369601.94489,0.7370036592526878
#5100,,,,0,,4452,391,3185476.89011327,0.7947072027448338
#8131,,,,0,,9649,415,2873304.57071,0.5097525836874287
#601,priceBinary,BTC,1d,76885,Recurring,85334,378,2552490.88919,0.5570411555769096
#7610,,,,0,,8416,520,2438719.83391,0.7817383923479088
#600,priceBinary,BTC,1d,76885,Recurring,79911,465,2430456.10457,0.5058329813167148
#8130,,,,0,,11577,982,2301277.99252,0.49832878120411156
#1211,priceBinary,BTC,1d,73674,Recurring,35129,287,2298887.14804,0.5671814270261039
#7781,,,,0,,7540,484,2162769.36249,0.6587030464190982
#301,priceBinary,BTC,1d,81182,Recurring,50707,576,2114912.30544,0.6577763247677835
#250,priceBinary,BTC,1d,80813,Recurring,45114,592,2094975.90073,0.7223418439952122
#1540,priceBinary,BTC,1d,63927,Recurring,47759,269,2089909.82836,0.3722080112648925
#1160,priceBinary,BTC,1d,72951,Recurring,25717,284,2076404.18292,0.6503137446047361
#10,priceBinary,BTC,1d,78213,Recurring,18428,1195,2061956.6401,0.6968958085522031
#751,priceBinary,BTC,1d,77793,Recurring,36615,348,2061007.36934,0.6198107734535027
#0,priceBinary,BTC,1d,78213,Recurring,27999,1668,2038295.91339,0.6260681092181863
#1591,priceBinary,BTC,1d,62290,Recurring,26175,460,2009384.98746,0.6368337658070679
#20,priceBinary,BTC,1d,79980,Recurring,21216,1069,2002175.03879,0.5481366581825038
#7510,,,,0,,6291,891,1961933.57342,0.7466167127642663
#1421,named,,,0,2026 NBA Finals champion,2554,266,1905144.80405,0.5548034651527016
#651,priceBinary,BTC,1d,76886,Recurring,43955,354,1900406.33654,0.5644242632237515
#8560,,,,0,,7509,408,1857586.46239,0.6239608496470901
